Stock,Score,Price,Signal,Timestamp
CPPLUS,0.9421,1799.6,BUY,2026-04-05T15:37:06Z
GVT&D,0.9371,3822.2,BUY,2026-04-05T15:37:21Z
BSE,0.9349,2851.4,BUY,2026-04-05T15:36:59Z
BLS,0.9258,268.4,BUY,2026-04-05T15:36:58Z
HBLENGINE,0.8984,667.4,BUY,2026-04-05T15:37:21Z
ENGINERSIN,0.8939,200.55,BUY,2026-04-05T15:37:13Z
ANANDRATHI,0.8899,3208.2,BUY,2026-04-05T15:36:50Z
CCL,0.8567,1093.0,BUY,2026-04-05T15:37:01Z
EMCURE,0.773,1547.6,BUY,2026-04-05T15:37:12Z
GRANULES,0.748,613.6,BUY,2026-04-05T15:37:19Z
GESHIP,0.7217,1439.6,BUY,2026-04-05T15:37:17Z
APARINDS,0.673,9832.0,BUY,2026-04-05T15:36:50Z
BIKAJI,0.6511,627.0,BUY,2026-04-05T15:36:57Z
EIDPARRY,0.6408,807.35,ACCUMULATE,2026-04-05T15:37:11Z
AFFLE,0.6262,1421.6,ACCUMULATE,2026-04-05T15:36:48Z
DMART,0.5781,4362.4,ACCUMULATE,2026-04-05T15:37:10Z
TITAN,0.6461,4097.2001953125,ACCUMULATE,2026-04-05 16:43:19
TITAN,0.6461,4097.2001953125,ACCUMULATE,2026-04-05 16:44:02
TITAN,0.6461,4097.2001953125,ACCUMULATE,2026-04-05 16:44:52
WAAREEENER,0.8976,3070.7,BUY,2026-04-05 17:43:06
SPLPETRO,0.7001,732.25,BUY,2026-04-05 17:43:05
JAINREC,0.6632,463.45,ACCUMULATE,2026-04-05 17:43:05
SAGILITY,0.6405,41.73,ACCUMULATE,2026-04-05 17:43:05
HEG,0.5837,550.0,IGNORE,2026-04-05 17:43:05
HONASA,0.5546,304.0,IGNORE,2026-04-05 17:43:05
CHAMBLFERT,0.5181,452.4,IGNORE,2026-04-05 17:43:05
WOCKPHARMA,0.4961,1271.5,IGNORE,2026-04-05 17:43:08
DOMS,0.4042,2356.4,IGNORE,2026-04-05 17:43:05
JYOTICNC,0.3958,773.6,IGNORE,2026-04-05 17:43:09
INDGN,0.374,472.6,IGNORE,2026-04-05 17:43:07
OFSS,0.3359,6992.5,IGNORE,2026-04-05 17:43:07
OLECTRA,0.3327,1020.1,IGNORE,2026-04-05 17:43:07
ONGC,0.3319,287.2,IGNORE,2026-04-05 17:43:07
CPPLUS,0.3121,1799.6,IGNORE,2026-04-05 17:43:05
NATCOPHARM,0.2432,1027.55,IGNORE,2026-04-05 17:43:07
JBMA,0.2391,561.7,IGNORE,2026-04-05 17:43:07
DEEPAKFERT,0.2043,992.75,IGNORE,2026-04-05 17:43:07
ANGELONE,0.1899,240.85,IGNORE,2026-04-05 17:43:05
GPIL,0.1778,276.75,IGNORE,2026-04-05 17:43:05
WAAREEENER,0.8976,3070.7,BUY,2026-04-05 18:16:49
SUZLON,0.8682,40.78,BUY,2026-04-05 18:20:41
SPLPETRO,0.7001,732.25,BUY,2026-04-05 18:16:49
JSWENERGY,0.6968,491.1,ACCUMULATE,2026-04-05 18:20:39
SARDAEN,0.6651,519.2,ACCUMULATE,2026-04-05 18:20:46
JAINREC,0.6632,463.45,ACCUMULATE,2026-04-05 18:16:49
SAGILITY,0.6405,41.73,ACCUMULATE,2026-04-05 18:16:49
THELEELA,0.5914,415.9,IGNORE,2026-04-05 18:20:44
