strategy_id,symbol,side,qty,status,pnl_pct,equity
mean_reversion_v1,NSE:SBIN-EQ,BUY,23,FILLED,0.2614,100261.41
mean_reversion_v1,NSE:SBIN-EQ,BUY,22,FILLED,0.6167,100879.76
mean_reversion_v1,NSE:SBIN-EQ,SELL,12,FILLED,0.1887,101070.13
mean_reversion_v1,NSE:SBIN-EQ,SELL,15,FILLED,0.1442,101215.89
mean_reversion_v1,NSE:SBIN-EQ,SELL,18,FILLED,0.2879,101507.29
mean_reversion_v1,NSE:SBIN-EQ,SELL,13,FILLED,0.1884,101698.48
mean_reversion_v1,NSE:SBIN-EQ,SELL,17,FILLED,0.3181,102021.97
mean_reversion_v1,NSE:SBIN-EQ,SELL,14,FILLED,-0.255,101761.81
mean_reversion_v1,NSE:SBIN-EQ,BUY,11,FILLED,-0.0483,101712.63
mean_reversion_v1,NSE:SBIN-EQ,SELL,20,FILLED,0.3889,102108.2
mean_reversion_v1,NSE:SBIN-EQ,BUY,17,FILLED,0.361,102476.8
mean_reversion_v1,NSE:SBIN-EQ,BUY,17,FILLED,0.498,102987.15
mean_reversion_v1,NSE:SBIN-EQ,BUY,17,FILLED,-0.1299,102853.35
mean_reversion_v1,NSE:SBIN-EQ,SELL,11,FILLED,0.6758,103548.47
mean_reversion_v1,NSE:SBIN-EQ,BUY,14,FILLED,-0.4407,103092.12
mean_reversion_v1,NSE:SBIN-EQ,BUY,25,FILLED,0.4969,103604.34
mean_reversion_v1,NSE:SBIN-EQ,SELL,12,FILLED,0.3356,103952.08
mean_reversion_v1,NSE:SBIN-EQ,BUY,22,FILLED,0.7931,104776.5
