strategy_id,strategy_stage,shadow_mode,symbol,asset_class,regime,trade_type,side,qty,status,price,intended_price,slippage_bps,confidence,fee,realized_pnl,unrealized_pnl,cycle_pnl,equity,cash_balance
core_momentum_v1,PAPER_SHADOW,True,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,SWING,SELL,6,FILLED,293.29,293.34,1.78,0.75,0.44,0.0,-0.31,-0.75,99999.25,101759.28
core_momentum_v1,PAPER_SHADOW,True,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,SWING,SELL,6,FILLED,292.36,292.41,1.8,0.75,0.44,0.0,4.95,5.75,100004.07,103512.99
core_momentum_v1,PAPER_SHADOW,True,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,SWING,SELL,6,FILLED,291.28,291.33,1.8,0.75,0.44,0.0,17.6,3.32,100016.28,105260.21
core_momentum_v1,PAPER_SHADOW,True,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,SWING,SELL,6,FILLED,291.32,291.37,1.8,0.75,0.44,0.0,16.52,9.31,100014.77,107007.69
core_momentum_v1,PAPER_SHADOW,True,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,SWING,SELL,6,FILLED,292.5,292.55,1.82,0.75,0.44,0.0,-12.09,20.52,99985.72,108762.24
core_momentum_v1,PAPER_SHADOW,True,NSE:INFY-EQ,EQUITY,LOW_VOLATILITY,INTRADAY,SELL,11,FILLED,179.89,179.92,1.81,0.75,0.49,0.0,34.8,22.36,100032.11,110740.5
core_momentum_v1,PAPER_SHADOW,True,NSE:HDFCBANK-EQ,EQUITY,LOW_VOLATILITY,SWING,SELL,4,FILLED,473.98,474.07,1.81,0.75,0.47,0.0,3.7,-31.57,100000.55,112635.95
core_momentum_v1,PAPER_SHADOW,True,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,INTRADAY,SELL,6,FILLED,291.23,291.28,1.84,0.75,0.44,0.0,30.83,26.69,100027.23,114382.88
core_momentum_v1,PAPER_SHADOW,True,NSE:INFY-EQ,EQUITY,LOW_VOLATILITY,SWING,SELL,11,FILLED,179.95,179.98,1.81,0.75,0.49,0.0,-13.67,-44.99,99982.24,116361.8
core_momentum_v1,PAPER_SHADOW,True,NSE:INFY-EQ,EQUITY,LOW_VOLATILITY,SWING,SELL,11,FILLED,179.63,179.66,1.82,0.75,0.49,0.0,-62.9,34.12,99932.51,118337.19
core_momentum_v1,PAPER_SHADOW,True,NSE:RELIANCE-EQ,EQUITY,LOW_VOLATILITY,SWING,BUY,6,FILLED,293.87,293.81,1.85,0.75,0.44,-11.25,-45.59,5.62,99938.13,116573.53
